layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,38,100,0.38
1,blocks.1.hook_resid_post,31,100,0.31
2,blocks.2.hook_resid_post,32,100,0.32
3,blocks.3.hook_resid_post,12,100,0.12
4,blocks.4.hook_resid_post,37,100,0.37
5,blocks.5.hook_resid_post,23,100,0.23
6,blocks.6.hook_resid_post,21,100,0.21
7,blocks.7.hook_resid_post,29,100,0.29
8,blocks.8.hook_resid_post,32,100,0.32
9,blocks.9.hook_resid_post,31,100,0.31
10,blocks.10.hook_resid_post,27,100,0.27
11,blocks.11.hook_resid_post,22,100,0.22
12,blocks.12.hook_resid_post,16,100,0.16
13,blocks.13.hook_resid_post,11,100,0.11
14,blocks.14.hook_resid_post,9,100,0.09
15,blocks.15.hook_resid_post,9,100,0.09
16,blocks.16.hook_resid_post,10,100,0.1
17,blocks.17.hook_resid_post,19,100,0.19
18,blocks.18.hook_resid_post,26,100,0.26
19,blocks.19.hook_resid_post,29,100,0.29
20,blocks.20.hook_resid_post,38,100,0.38
21,blocks.21.hook_resid_post,35,100,0.35
22,blocks.22.hook_resid_post,43,100,0.43
23,blocks.23.hook_resid_post,38,100,0.38
24,blocks.24.hook_resid_post,46,100,0.46
25,blocks.25.hook_resid_post,40,100,0.4
