layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,38,100,0.38
1,blocks.1.hook_resid_post,9,100,0.09
2,blocks.2.hook_resid_post,3,100,0.03
3,blocks.3.hook_resid_post,6,100,0.06
4,blocks.4.hook_resid_post,4,100,0.04
5,blocks.5.hook_resid_post,3,100,0.03
6,blocks.6.hook_resid_post,16,100,0.16
7,blocks.7.hook_resid_post,30,100,0.3
8,blocks.8.hook_resid_post,30,100,0.3
9,blocks.9.hook_resid_post,24,100,0.24
10,blocks.10.hook_resid_post,26,100,0.26
11,blocks.11.hook_resid_post,27,100,0.27
12,blocks.12.hook_resid_post,28,100,0.28
13,blocks.13.hook_resid_post,11,100,0.11
14,blocks.14.hook_resid_post,16,100,0.16
15,blocks.15.hook_resid_post,12,100,0.12
16,blocks.16.hook_resid_post,11,100,0.11
17,blocks.17.hook_resid_post,18,100,0.18
18,blocks.18.hook_resid_post,26,100,0.26
19,blocks.19.hook_resid_post,30,100,0.3
20,blocks.20.hook_resid_post,37,100,0.37
21,blocks.21.hook_resid_post,38,100,0.38
22,blocks.22.hook_resid_post,41,100,0.41
23,blocks.23.hook_resid_post,36,100,0.36
24,blocks.24.hook_resid_post,39,100,0.39
25,blocks.25.hook_resid_post,39,100,0.39
