layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,44,100,0.44
1,blocks.1.hook_resid_post,53,100,0.53
2,blocks.2.hook_resid_post,54,100,0.54
3,blocks.3.hook_resid_post,50,100,0.5
4,blocks.4.hook_resid_post,51,100,0.51
5,blocks.5.hook_resid_post,49,100,0.49
6,blocks.6.hook_resid_post,45,100,0.45
7,blocks.7.hook_resid_post,49,100,0.49
8,blocks.8.hook_resid_post,49,100,0.49
9,blocks.9.hook_resid_post,50,100,0.5
10,blocks.10.hook_resid_post,48,100,0.48
11,blocks.11.hook_resid_post,41,100,0.41
12,blocks.12.hook_resid_post,44,100,0.44
13,blocks.13.hook_resid_post,40,100,0.4
14,blocks.14.hook_resid_post,38,100,0.38
15,blocks.15.hook_resid_post,40,100,0.4
16,blocks.16.hook_resid_post,34,100,0.34
17,blocks.17.hook_resid_post,35,100,0.35
18,blocks.18.hook_resid_post,39,100,0.39
19,blocks.19.hook_resid_post,41,100,0.41
20,blocks.20.hook_resid_post,43,100,0.43
21,blocks.21.hook_resid_post,46,100,0.46
22,blocks.22.hook_resid_post,46,100,0.46
23,blocks.23.hook_resid_post,48,100,0.48
24,blocks.24.hook_resid_post,49,100,0.49
25,blocks.25.hook_resid_post,48,100,0.48
