layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,40,100,0.4
1,blocks.1.hook_resid_post,28,100,0.28
2,blocks.2.hook_resid_post,32,100,0.32
3,blocks.3.hook_resid_post,13,100,0.13
4,blocks.4.hook_resid_post,24,100,0.24
5,blocks.5.hook_resid_post,13,100,0.13
6,blocks.6.hook_resid_post,10,100,0.1
7,blocks.7.hook_resid_post,24,100,0.24
8,blocks.8.hook_resid_post,19,100,0.19
9,blocks.9.hook_resid_post,17,100,0.17
10,blocks.10.hook_resid_post,23,100,0.23
11,blocks.11.hook_resid_post,20,100,0.2
12,blocks.12.hook_resid_post,18,100,0.18
13,blocks.13.hook_resid_post,9,100,0.09
14,blocks.14.hook_resid_post,11,100,0.11
15,blocks.15.hook_resid_post,7,100,0.07
16,blocks.16.hook_resid_post,12,100,0.12
17,blocks.17.hook_resid_post,12,100,0.12
18,blocks.18.hook_resid_post,26,100,0.26
19,blocks.19.hook_resid_post,31,100,0.31
20,blocks.20.hook_resid_post,35,100,0.35
21,blocks.21.hook_resid_post,39,100,0.39
22,blocks.22.hook_resid_post,46,100,0.46
23,blocks.23.hook_resid_post,42,100,0.42
24,blocks.24.hook_resid_post,42,100,0.42
25,blocks.25.hook_resid_post,48,100,0.48
