layer,hook_name,correct,total,accuracy
0,blocks.0.hook_resid_post,43,100,0.43
1,blocks.1.hook_resid_post,31,100,0.31
2,blocks.2.hook_resid_post,35,100,0.35
3,blocks.3.hook_resid_post,25,100,0.25
4,blocks.4.hook_resid_post,35,100,0.35
5,blocks.5.hook_resid_post,23,100,0.23
6,blocks.6.hook_resid_post,16,100,0.16
7,blocks.7.hook_resid_post,29,100,0.29
8,blocks.8.hook_resid_post,27,100,0.27
9,blocks.9.hook_resid_post,24,100,0.24
10,blocks.10.hook_resid_post,24,100,0.24
11,blocks.11.hook_resid_post,17,100,0.17
12,blocks.12.hook_resid_post,11,100,0.11
13,blocks.13.hook_resid_post,7,100,0.07
14,blocks.14.hook_resid_post,10,100,0.1
15,blocks.15.hook_resid_post,11,100,0.11
16,blocks.16.hook_resid_post,12,100,0.12
17,blocks.17.hook_resid_post,20,100,0.2
18,blocks.18.hook_resid_post,29,100,0.29
19,blocks.19.hook_resid_post,29,100,0.29
20,blocks.20.hook_resid_post,39,100,0.39
21,blocks.21.hook_resid_post,33,100,0.33
22,blocks.22.hook_resid_post,37,100,0.37
23,blocks.23.hook_resid_post,46,100,0.46
24,blocks.24.hook_resid_post,46,100,0.46
25,blocks.25.hook_resid_post,39,100,0.39
